Date,Category,Publisher,Heading,URL,,,,,,,
2020-02-05,Violent Crime,The Star,"Initial evidence suggests Airbnb shooting was a murder-suicide, police say",https://www.thestar.com/news/gta/2020/02/04/initial-evidence-suggests-airbnb-shooting-was-a-murder-suicide-police-say.html,,,,,,,
2020-02-05,Community Policing & Demographics,The Star,Toronto council should back plan to fight youth violence,https://www.thestar.com/opinion/editorials/2020/02/04/toronto-council-should-back-plan-to-fight-youth-violence.html,,,,,,,
2020-02-05,Missing Persons,The Star,Homicide victim Tess Richey’s friend describes night out together in Toronto’s gay village,https://www.thestar.com/news/gta/2020/02/04/tess-richeys-friend-describes-night-out-together-in-torontos-gay-village.html,,,,,,,
2020-02-06,Violent Crime,The Star,Scarborough’s Cedarbrae Collegiate Institute lockdown lifted after nearby shooting,https://www.thestar.com/news/gta/2020/02/05/scarboroughs-cedarbrae-collegiate-institute-in-lockdown-after-shooting.html,,,,,,,
2020-02-06,Missing Persons,The Star,"Undercover cops discussed Magic: The Gathering to convince accused killer to describe Tess Richey’s last hours, trial hears","Toronto Star: Undercover cops discussed Magic: The Gathering to convince accused killer to describe Tess Richey’s last hours, trial hears",,,,,,,
2020-02-07,Violent Crime,The Star,Man sustains ‘life-altering’ injuries after he is stabbed with scissors on TTC bus,https://www.thestar.com/news/gta/2020/02/06/man-sustains-life-altering-injuries-after-he-is-stabbed-with-scissors-on-ttc-bus.html,,,,,,,
2020-02-07,Missing Persons,The Star,Man accused of abducting toddler and fleeing to the U.S. in 1987 returns to Toronto to face charge,https://www.thestar.com/news/gta/2020/02/06/man-accused-of-abducting-toddler-and-fleeing-to-the-us-in-1987-returns-to-toronto-to-face-charge.html,,,,,,,
2020-02-07,Community Policing & Demographics,The Star,"Toronto police had no right to seize hidden bedside camera from Airbnb condo, judge rules",https://www.thestar.com/news/gta/2020/02/06/toronto-police-had-no-right-to-seize-hidden-bedside-camera-from-airbnb-condo-judge-rules.html,,,,,,,
2020-02-07,Traffic,The Star,"Car crash in Scarborough leaves girl, 15, with life-threatening injuries; man charged",https://www.thestar.com/news/gta/2020/02/06/car-crash-in-scarborough-leaves-girl-15-with-life-threatening-injuries.html,,,,,,,
2020-02-08,Persons in Crisis,The Star,Veteran officer remembered as ‘great guy’ and mentor following apparent suicide at Toronto police HQ,https://www.thestar.com/news/gta/2020/02/07/toronto-police-grieves-loss-of-veteran-police-officer.html,,,,,,,
2020-02-08,Community Policing & Demographics,The Star,Toronto police seeking SUV driver after death of 93-year-old woman in Leslieville,https://www.thestar.com/news/gta/2020/02/07/toronto-police-seeking-suv-driver-after-death-of-93-year-old-woman-in-leslieville.html,,,,,,,
2020-02-08,Violent Crime,The Star,One man dead after shooting in Etobicoke,https://www.thestar.com/news/gta/2020/02/07/one-man-in-life-threatening-condition-after-shooting-in-etobicoke.html,,,,,,,
2020-02-08,Violent Crime,The Star,York University instructor charged with sexual assault on TTC after viral social media post,https://www.thestar.com/news/gta/2020/02/07/york-university-instructor-charged-with-sexual-assault-on-ttc-after-viral-social-media-post.html,,,,,,,
2020-02-08,Violent Crime,The Star,"Posting on social media about sexual violence ‘empowers’ women, Instagram post on York University instructor shows",https://www.thestar.com/news/gta/2020/02/07/social-media-can-empower-women-to-speak-out-about-sexual-violence-viral-social-post-shows.html,,,,,,,
2020-02-08,Missing Persons,The Star,"Undercover cop has flawed memory, defence argues at Tess Richey murder trial",https://www.thestar.com/news/gta/2020/02/07/undercover-cop-has-flawed-memory-defence-argues-at-tess-richey-murder-trial.html,,,,,,,
2020-02-09,Violent Crime,The Star,Toronto police identify 29-year-old man as victim of Etobicoke shooting,https://www.thestar.com/news/gta/2020/02/08/toronto-police-identify-29-year-old-man-as-victim-of-etobicoke-shooting.html,,,,,,,
2020-02-11,Traffic,The Star,Man facing 24 charges after road rage incident involving pedestrian,https://www.thestar.com/news/gta/2020/02/10/man-facing-24-charges-after-road-rage-incident-involving-pedestrian.html,,,,,,,
2020-02-11,Community Policing & Demographics,The Star,State reviews LA police use of California gang database,https://www.thestar.com/news/world/us/2020/02/10/state-to-review-la-police-use-of-california-gang-database.html,,,,,,,
2020-02-12,Violent Crime,The Star,Toronto police charge two people with murder in death of Deandre Campbell-Kelly,https://www.thestar.com/news/crime/2020/02/11/toronto-police-charge-two-people-with-murder-in-death-of-deandre-campbell-kelly.html,,,,,,,
2020-02-12,Missing Persons,The Star,"Man who escaped Toronto psychiatric hospital found, say police",https://www.thestar.com/news/gta/2020/02/11/man-who-escaped-toronto-psychiatric-hospital-found-say-police.html,,,,,,,
2020-02-14,GIS,The Star,Toronto police chief halts use of controversial facial recognition tool,https://www.thestar.com/news/gta/2020/02/13/toronto-police-used-clearview-ai-an-incredibly-controversial-facial-recognition-tool.html,,,,,,,
2020-02-14,Community Policing & Demographics,The Star,"Ontario Human Rights Commission will remain independent, attorney general says",https://www.thestar.com/politics/provincial/2020/02/13/ontario-human-rights-commission-will-remain-independent-attorney-general-says.html,,,,,,,
2020-02-14,Community Policing & Demographics,The Star,"Toronto police seeking man who harassed, assaulted woman for wearing mask",https://www.thestar.com/news/crime/2020/02/13/toronto-police-seeking-man-who-harassed-assaulted-woman-for-wearing-mask.html,,,,,,,
2020-02-14,Violent Crime,The Star,It’s been two years since Bruce McArthur’s arrest. Has anything changed in Toronto’s gay community?,https://www.thestar.com/life/opinion/2020/02/14/its-been-two-years-since-bruce-mcarthurs-arrest-has-anything-changed-in-torontos-gay-community.html,,,,,,,
2020-02-15,Community Policing & Demographics,The Star,Peel and Halton police reveal they too used controversial facial recognition tool,https://www.thestar.com/news/gta/2020/02/14/peel-and-halton-police-reveal-they-too-used-controversial-facial-recognition-tool.html,,,,,,,
2020-02-15,Violent Crime,The Star,Man in serious condition after he was shot downtown,https://www.thestar.com/news/gta/2020/02/14/man-in-serious-condition-after-he-was-shot-downtown.html,,,,,,,
2020-02-15,Violent Crime,The Star,Police seek suspect in firearm investigation,https://www.thestar.com/news/gta/2020/02/14/police-seek-suspect-in-firearm-investigation.html,,,,,,,
2020-02-17,Traffic,The Star,Toronto police need to spend more time enforcing traffic laws,https://www.thestar.com/opinion/editorials/2020/02/16/toronto-police-need-to-spend-more-time-enforcing-traffic-laws.html,,,,,,,
2020-02-18,Community Policing & Demographics,The Star,Toronto police board to mull donation to purchase new armoured vehicle,https://www.thestar.com/news/gta/2020/02/18/toronto-police-board-to-mull-donation-to-purchase-new-armoured-vehicle.html,,,,,,,
2020-02-19,Community Policing & Demographics,The Star,Police called to premier’s home to investigate ‘suspicious package’,https://www.thestar.com/news/gta/2020/02/18/police-called-to-premiers-home-to-investigate-suspicious-package.html,,,,,,,
2020-02-19,Community Policing & Demographics,The Star,"Contractors’ association behind $275,000 offer to donate armoured vehicle to Toronto police",https://www.thestar.com/news/gta/2020/02/18/contractors-association-behind-offer-to-donate-armoured-vehicle-to-toronto-police.html,,,,,,,
2020-02-19,Community Policing & Demographics,The Star,‘When justice fails block the rails’ — Wet’suwet’en solidarity protest weaves through Toronto,https://www.thestar.com/news/gta/2020/02/17/wetsuweten-solidarity-protest-weaves-through-toronto.html,,,,,,,
2020-02-20,Violent Crime,The Star,Man charged after woman wearing mask on TTC bus allegedly assaulted,https://www.thestar.com/news/crime/2020/02/19/man-charged-after-woman-wearing-mask-on-ttc-bus-was-assaulted.html,,,,,,,
2020-02-20,Race-Based Data Collection,The Star,"Toronto must do more to respond to MMIWG inquiry’s calls for justice, city report says",https://www.thestar.com/news/city_hall/2020/02/19/toronto-must-do-more-to-respond-to-mmiwg-inquirys-calls-for-justice-city-report-says.html,,,,,,,
